left_ratio_x,right_ratio_x,avg_ratio_x,avg_width,eye_distance,normalized_x,screen_x,screen_y
-0.471169972952339,0.608445194371449,0.06863761070955499,100.58769412765764,242.81601164311363,0.5821812450885773,50,50
-0.4799799442435286,0.6100518538788416,0.06503595481765653,100.78059024227616,243.4848721863526,0.582708477973938,50,50
-0.48231568047287043,0.6060196514323722,0.061851985479750904,99.4615080890867,242.224030473773,0.5840989351272583,50,50
-0.4961874027938897,0.6086941314709072,0.05625336433850878,99.90920095776613,241.3489310977183,0.5850103199481964,50,50
-0.48833546476762274,0.5959729199446742,0.05381872758852571,101.43479886302475,238.81603375671594,0.5863417685031891,50,50
-0.4988976197992779,0.5916105477327256,0.046356463966723854,101.22437116903399,238.3750660156716,0.5874665081501007,50,50
-0.4937704301140304,0.6088247055894983,0.05752713773773396,100.49232454586634,236.84178545156067,0.5890114009380341,50,50
-0.4905145340561162,0.5990920119819734,0.05428873896292857,101.08815581875996,235.3295044723409,0.590492457151413,50,50
-0.48027475754604176,0.6082703589542838,0.06399780070412103,101.40722232567828,234.8676704940638,0.5914484858512878,50,50
-0.480752527734298,0.6052099849119825,0.062228728588842264,100.267698346136,234.90008635812512,0.5927976965904236,50,50
-0.4829607274635026,0.6027410101285849,0.05989014133254117,101.12211789830778,235.02726937838366,0.5937498807907104,50,50
-0.49906107601326455,0.584509948610411,0.0427244362985732,99.75241015970354,234.80569387388434,0.594515323638916,50,50
-0.5033821462110702,0.5837728497837101,0.040195351786319944,100.86573508548977,234.56064032314814,0.5945105254650116,50,50
-0.5018467392719126,0.5925562182268472,0.04535473947746732,100.1907935142439,235.18741552674385,0.5953041613101959,50,50
-0.5188108436992878,0.5727376089226843,0.026963382611698283,100.7611056350602,235.2887900590619,0.5964412689208984,50,50
-0.507318293625011,0.5917902207368245,0.04223596355590675,100.00604170269648,236.00976646887295,0.5967664122581482,50,50
-0.5071289099957956,0.5758262030588258,0.03434864653151509,100.22430128930046,235.09225601749233,0.5976557731628418,50,50
-0.5010050860787604,0.5773630193014195,0.03817896661132958,100.80827651779819,235.50078689363986,0.6026227176189423,221,50
-0.5025102781303628,0.5675230989797411,0.03250641042468916,100.97970150899489,234.9115070708565,0.6030746400356293,221,50
