left_ratio_x,left_ratio_y,right_ratio_x,right_ratio_y,left_width,left_height,right_width,right_height,pitch,screen_x,screen_y
-0.5562687429217283,0.507885339740497,0.5250356905588112,0.4300050364967627,74.81807678233574,27.653058170485032,76.39011411439539,25.317461090752673,-120.63026905059814,20,20
-0.5527765531592453,0.4874216287721179,0.5371609396452816,0.44827917399348083,76.47039591047856,27.64918921111072,76.62112417968083,24.89425790244771,-120.60136556625366,20,20
-0.5532498190263211,0.4452694583649854,0.540229065467116,0.42608457560937274,77.24459382808976,27.64123752761104,77.29345725608223,28.00199162267892,-122.78335332870483,20,20
-0.5561875872002573,0.48805717009350646,0.5343251496408625,0.45843518394077015,76.3654005077808,29.12273988105858,79.0896662953716,28.124102989540045,-121.48626923561096,20,20
-0.5480532455313746,0.4508838238730239,0.5420243614848853,0.42447243659387246,76.24678888517059,28.114984840837575,80.06091461757735,27.63472672291641,-121.04421973228455,20,20
-0.5526131884578198,0.48221263749303145,0.5493956359737501,0.41501645439036533,75.96657831094255,29.050532618657886,79.19774371391178,26.27431725046695,-120.39028644561768,20,20
-0.5372665460988252,0.45297135763114565,0.5643339791641034,0.42898086965982646,75.4134435794098,27.286221136204976,78.46386171679815,27.187632788505216,-122.09417581558228,20,20
-0.5437768841842836,0.49655395780085904,0.5588541653096365,0.4362336006400884,75.07963245763806,29.501028273351313,78.35699066673716,27.428289060792633,-120.26427626609802,20,20
-0.5374352057351938,0.4972556172644551,0.5695821462457246,0.4660276467370461,73.30787243915695,28.365103884904034,77.08408037677741,27.449180652863774,-118.53132247924805,82,20
-0.5343215870523365,0.08609804616218565,0.524574722220399,0.2548954708414607,72.57162985657786,6.84642378149349,75.40680406494855,11.63836327111739,-112.17010974884033,82,20
-0.4381179382749686,-0.6720567219294818,0.4765189223650094,-0.6782014862440177,78.65825755415916,3.41914471935844,78.28912929779237,5.5561707471083315,-107.65762567520142,82,20
-0.5634258036947822,0.3184807419086694,0.47831683525260915,-0.014957188609095288,69.48443300437391,14.906336822364455,76.43417651954645,7.432693546544241,-112.76005625724792,82,20
-0.5583803800306134,0.4416965814911069,0.5384664876884104,0.3727981418460938,73.72947142007207,22.321009730150713,72.76727550124906,20.56424215548545,-115.48387169837952,82,20
-0.5453299527739739,0.4812048175038501,0.5541666590032908,0.4128451747568723,74.19930638729807,26.27842890853449,76.1226578533666,24.60439193728678,-117.24627614021301,82,20
-0.5398976001991903,0.4688200057829002,0.5525022183488042,0.4197634231071984,75.86052761481317,27.527421186432047,77.3400010654531,26.190583633272333,-118.13813209533691,82,20
-0.5375832681926599,0.47594456863661116,0.5542942413711167,0.4292480849344516,76.88067647412791,27.328581261801894,77.75497765578065,26.91951335547794,-118.14971923828125,82,20
-0.535725649294178,0.4769793927431897,0.5484729911117944,0.42406873490463337,76.8387936782789,27.625314715313543,77.66507955110156,26.81536453073397,-117.6735520362854,82,20
-0.537228306485126,0.47758365241306794,0.5532523671856193,0.4332035922662362,76.27536895920242,27.685118619414528,77.2936754940258,26.768744087514538,-117.73020029067993,82,20
-0.5357069324720333,0.4695397310253928,0.5539706834223557,0.4348857612268275,76.52702087286794,28.51805500952567,76.74000157909781,26.403718377393357,-117.78958439826965,82,20
