left_ratio_x,left_ratio_y,right_ratio_x,right_ratio_y,left_width,left_height,right_width,right_height,screen_x,screen_y
-0.5426795157419708,0.3911842949759874,0.5606874754973064,0.4465964707141874,94.57980509356979,28.827170222037328,91.624788574705,26.701175336267788,20,20
-0.5387322060688258,0.4296626206812625,0.5473345543277139,0.45113893868905036,93.66440849148255,27.168989769857582,91.95216641178281,28.946878732756847,20,20
-0.5396871931435614,0.38846657967870585,0.5555453914386679,0.4514313378180073,93.2750602724777,26.5181645668188,92.44319671835136,27.545931043265842,20,20
-0.5350581938544745,0.38837782481488864,0.549165247594056,0.4377840255676614,92.17437932517755,27.730707539309417,92.67737758407108,26.080257340201886,20,20
-0.5384280938045444,0.34310669686982737,0.55904146317869,0.4360240934516737,94.25547887452487,27.38342020756117,91.90316157472257,27.31944673990259,20,20
-0.5406343967422887,0.3894414688577717,0.5506789109566962,0.42854604513562494,91.13286550848908,27.02114280314473,92.55480538124388,25.987981782541535,20,20
-0.5372075997875748,0.35450397301874936,0.5548291539952049,0.44747632859060626,94.40219626558003,26.86458335257847,91.80719668090286,26.642343951305147,20,20
-0.543900992563561,0.4132481320008891,0.5473012958996133,0.44401368021819615,91.94308385908766,26.659895636202034,93.78863723650025,26.755370429917114,20,20
-0.54774914677611,0.42309695229870337,0.5414829826588462,0.4721545328507401,93.10710302853568,25.429502535964193,94.31876506036598,27.561584642984798,20,20
-0.5387473715890603,0.3628847003775366,0.5559210608412388,0.4533003981890359,93.81365244348228,25.37058355822655,92.88837363403343,26.4216704700393,82,20
-0.548483770885701,0.3738844117602642,0.5564834189622676,0.4594635427818316,94.0841721290665,25.339560029505016,93.44806094084167,27.533942279796968,82,20
-0.541774641480754,0.3466209728994039,0.5504578190587999,0.4473033638644862,93.14528381885275,25.25169430573001,93.44292028832822,26.984510753098565,82,20
-0.5417886594481698,0.34952599446087257,0.5539199353100238,0.43973698023077146,94.25319364177265,25.911112845231717,92.0636715965003,26.651364229910705,82,20
-0.5462074556487939,0.3454074062088269,0.5442171533207445,0.4639342882604257,93.47214667731032,25.339669034929262,93.01490703386422,27.285953235180347,82,20
-0.5375017725943737,0.3330626974655717,0.5541461776717815,0.4550393245721512,94.17870978429012,25.595343603671573,91.34602224441775,27.64186008863477,82,20
-0.5367796814688955,0.3366887733769337,0.5476890560968144,0.4414970469602197,94.26222882609302,25.306780856200145,93.89984500873045,26.291705013619325,82,20
-0.5341830115513898,0.3470234601787253,0.5538019945255404,0.4428527250980196,94.43786212239817,25.823149986657196,92.68151790718971,26.486022656605964,82,20
-0.5408935794457899,0.36019095999762046,0.5613578794837701,0.4573421068213177,93.42956156637885,24.84901899783073,92.73916361050621,26.64843959609142,82,20
-0.53859455102578,0.3381346801263444,0.5540185575308368,0.43238003063396746,94.56111167538883,25.510593516108994,92.34246469093505,26.193241232092,82,20
-0.5413919156821806,0.3635087350822421,0.5489349341846878,0.4468840176717554,93.14074048807994,25.457455203611175,92.71772103435883,25.71908496282331,82,20
-0.5323257825686544,0.3431536162174053,0.5612239732004205,0.44486248053189253,95.08659549037165,27.056454341278865,92.35856251991102,26.02834010733075,82,20
-0.5435859076662601,0.38552383866408607,0.5556354042265831,0.42499354316461907,91.9922725500706,26.34388368542907,93.65061757955073,25.348509893183053,82,20
-0.5480641190429426,0.39518098038189164,0.5595240197138058,0.44665431599233724,91.82516894218068,26.685300381778497,90.63065715746886,26.384971109972387,144,20
-0.5483896665559194,0.3672701940204625,0.5611857642793374,0.44372341641174334,91.89618187177321,26.007897767624183,92.63648158644567,26.413450155372292,144,20
-0.5477882809099034,0.37810592518885067,0.5614514975202118,0.4311667551461401,91.42359915296649,25.91871380837638,92.04942884846625,26.179681720702295,144,20
-0.5410684262462665,0.3313718667468786,0.5592075717359131,0.4239079716194484,93.52870755018766,26.2136394559939,92.28168012392881,25.79412730476161,144,20
-0.5419190451166747,0.3479440897623118,0.5609858940227677,0.4343942700171006,93.28856066758226,26.704201243565794,92.20763130072159,26.001840176596914,144,20
-0.5371121084065206,0.3476507996023844,0.561528633344409,0.43926049088991603,95.03026922179978,26.482866550312472,91.94711115876063,26.254843761707615,144,20
-0.5328192952722194,0.35738183717400557,0.5625197935958377,0.4116349447607004,95.354205388527,26.203346693917357,91.80076542645415,25.155733666533784,144,20
-0.48367331181721107,0.41022994633265625,0.6053919011105959,0.4449522743320239,93.11951640875618,24.674312366912545,93.68307264379156,24.733969948897993,144,20
-0.49162365415509585,0.4194646915045921,0.6031012395798966,0.4201401576932808,92.58176308114177,25.538671933694157,92.81498006503931,24.314693761728705,144,20
-0.48777534382213267,0.428770284087762,0.6004157010239164,0.4522200883348896,92.47272466897785,26.41661037155097,92.83805281155784,24.81944990071085,144,20
-0.4862011849078315,0.4557632157239846,0.5988196154297282,0.45727943538435467,92.71680706085279,26.735531272342236,93.31502620021432,25.42327633610198,144,20
-0.4779647370816747,0.4547817231863844,0.6016911421161455,0.4865124723934353,91.2150633474494,26.835128804444057,93.55801647199571,25.778383515316683,144,20
-0.489070782580819,0.4608437291383012,0.602477212575524,0.4867657992862099,91.80577223830333,27.372488607933747,93.99801233864372,25.132102638483435,206,20
-0.48020859568512986,0.4936349751340615,0.5878527535978241,0.4512739433062496,94.64275626062256,26.205042393932196,94.81118448119307,25.57809005873853,206,20
-0.49023165954311093,0.4505651126685572,0.6062538408184689,0.4374558788656167,92.9130442238024,27.05904810913775,94.23604823582505,24.99690784129208,206,20
-0.4866533297163134,0.44740905058199615,0.6005391036094236,0.4416308555828252,93.77824078620515,26.362907497760588,94.60817788196385,24.82786765705919,206,20
-0.48528968343688494,0.44007251049133206,0.6021934537266248,0.4500463433593458,92.80252114709621,26.106636719987232,94.23025470990439,24.892055473655617,206,20
-0.48707474010366686,0.4430183772019,0.6035663969313902,0.4495258057013841,92.61090558745606,26.57194807385763,94.1476849211415,24.933982729033996,206,20
-0.4880989952024562,0.43655915932534406,0.6053312181882016,0.44504020315419174,92.2899557606907,26.269331411609425,94.41711210491675,24.88537248478464,206,20
-0.4897751324354574,0.44008555923809356,0.6036785950645417,0.4479526365805831,92.53852168045395,26.34077847541556,94.30857468949502,24.939421234448837,206,20
-0.4906467910789482,0.4317188598233889,0.6073479527608768,0.44008270622515333,92.07941727739285,26.347423896425358,94.41977549763926,24.771420477103433,206,20
-0.4931376222540104,0.4401136907824945,0.6067260440424059,0.4375720266611434,92.24334276466092,26.81657531951568,94.38640994160427,24.87993716014648,206,20
