left_ratio_x,right_ratio_x,avg_ratio_x,avg_width,eye_distance,normalized_x,screen_x,screen_y
-0.37746330480786927,0.38620329356086747,0.004369994376499098,72.9487816255838,142.7328455450065,0.5155702531337738,50,50
-0.4384862297806171,0.5034655202161221,0.03248964521775252,71.82648918736147,150.2278097372049,0.5210611820220947,50,50
-0.45867347712182993,0.4918207850898713,0.016573653984020692,71.32214228522979,147.9074638586681,0.5250811874866486,50,50
-0.4734638337072361,0.4856827715773324,0.006109468935048157,70.60520058772447,146.80402052404835,0.5293142795562744,50,50
-0.47524413123970843,0.4984388685946706,0.011597368677481096,70.16284077242872,146.41286565199005,0.53450046479702,50,50
-0.4925221667679193,0.5013733849572838,0.004425609094682231,69.32300794398881,146.21138293869728,0.5393615961074829,50,50
-0.5053005628524628,0.5232507318050014,0.008975084476269268,70.62844658431197,149.31624487240344,0.543810099363327,50,50
-0.5174749736238804,0.5126311009720197,-0.0024219363259303517,70.6667272242922,150.09022571300181,0.5474192798137665,50,50
-0.48631042798812707,0.5130728001227262,0.013381186067299544,71.43923357515577,149.05990461905915,0.550690621137619,50,50
-0.49221976612008767,0.519051281197016,0.01341575753846419,72.303606358684,150.11895323419927,0.5522769093513489,50,50
-0.48665373528659306,0.5292105876840248,0.021278426198715894,73.02500275619067,150.85755492045806,0.5536142587661743,50,50
-0.485843440525626,0.5328547915516985,0.023505675513036228,74.26498570017216,152.28717446158288,0.5540021061897278,50,50
-0.4772580951565717,0.5428213127772848,0.03278160881035658,74.26876973781691,152.82953743880756,0.5532993674278259,50,50
-0.48983100634048693,0.5350903650007168,0.02262967933011495,75.04158440464991,154.29322526858377,0.5521279871463776,50,50
-0.4874585840403551,0.5308350734153056,0.02168824468747524,75.50259524899752,157.7606917367692,0.5504906177520752,50,50
-0.49886183522994737,0.5362024988156558,0.01867033179285424,75.5365882112348,160.49617995829584,0.5520408153533936,50,50
-0.46354025315131786,0.5629608465340064,0.04971029669134425,77.65942629932894,160.27442851054025,0.5559376180171967,50,50
-0.4737335988219272,0.5656299697555428,0.04594818546680779,79.19710750800456,163.7582975269861,0.5581769943237305,50,50
-0.4839533516344145,0.5757829434788971,0.04591479592224132,78.27731645100314,166.34358844748058,0.5601366460323334,50,50
-0.4660301218720045,0.5646859726018392,0.04932792536491734,79.0233525357421,167.37732262760383,0.5623351633548737,50,50
-0.4827783244599656,0.5601631590900538,0.03869241731504408,79.71455923877096,168.09774740402912,0.5640563070774078,50,50
-0.4691641132662155,0.564950175387825,0.04789303106080475,80.89094801671195,167.53420145508932,0.5659640431404114,50,50
-0.47036840651298395,0.558274090120415,0.0439528418037155,81.78937283456834,168.94053538082895,0.5671443045139313,50,50
-0.48719798769063705,0.5638689286317619,0.038335470470562405,81.81851598389532,170.32471840247976,0.5679730176925659,50,50
-0.48309889166653536,0.5701406637973185,0.04352088606539159,82.17548402322824,171.64586088691402,0.5689671039581299,50,50
-0.4931327401781665,0.5587444355422881,0.032805847682060824,81.79985062805986,176.90441365010773,0.5728527009487152,50,50
-0.5066364088931385,0.5723395699720498,0.03285158053945564,80.95223697323271,177.64321628636725,0.574963390827179,50,50
-0.5068909111743736,0.5645167137614066,0.02881290129351649,82.07914343041271,178.9595430989929,0.576723039150238,50,50
-0.5013568517979217,0.5708237021653154,0.034733425183696875,81.69838232644409,178.32045025154906,0.5774876177310944,50,50
-0.5007833183480029,0.5598367667463041,0.02952672419915059,82.55553685234244,178.31417211816316,0.5779494941234589,50,50
-0.5160895633319319,0.544494054466382,0.014202245567225047,82.94314721397988,178.5255575372711,0.5810230374336243,226,50
-0.5137770188187479,0.5465079295234072,0.01636545535232964,83.20050548450622,178.33058710819068,0.5809571743011475,226,50
-0.5115409828897227,0.5448652297673338,0.01666212343880552,83.365413341861,177.95959487850448,0.5808208584785461,226,50
-0.506059433827849,0.5502935516485961,0.02211705891037352,83.72913254406132,177.95185093028127,0.5808770954608917,226,50
-0.5069158393354714,0.5514056522013625,0.022244906432945577,85.23947778977451,177.60795014487104,0.5806844532489777,226,50
-0.5083040865622951,0.5462311303313583,0.018963521884531598,85.91617477695256,177.97272331579558,0.5802705585956573,226,50
-0.5091286929439622,0.5398575403792115,0.015364423717624642,85.93460258992286,177.805986926493,0.5799672901630402,226,50
-0.5076385435018388,0.543690188242512,0.01802582237033662,84.72412259025108,177.52526012555492,0.5794995725154877,226,50
